x,y,z
562770.21485716,6186463.490036293,146.96173095703125
562770.21485716,6186463.490036293,146.9617919921875
562770.2202437316,6186463.480784234,146.96133422851562
562770.2202437316,6186463.480784234,146.9613494873047
562770.2202437316,6186463.480784234,146.9613800048828
562770.225495361,6186463.480860205,146.96141052246094
562770.225495361,6186463.480860205,146.96144104003906
562770.225495361,6186463.480860205,146.9614715576172
562770.225495361,6186463.480860205,146.9615020751953
562770.2307469909,6186463.480936176,146.96151733398438
562770.2307469909,6186463.480936176,146.96153259277344
562770.2307469909,6186463.480936176,146.9615478515625
562770.2307469909,6186463.480936176,146.9615478515625
562770.2359986207,6186463.481012149,146.96156311035156
562770.2359986207,6186463.481012149,146.96156311035156
562770.2359986207,6186463.481012149,146.96156311035156
562770.2412502501,6186463.4810881205,146.9615936279297
562770.2412502501,6186463.4810881205,146.96160888671875
562770.2465018799,6186463.481164091,146.96163940429688
562770.2465018799,6186463.481164091,146.96165466308594
562770.2517535097,6186463.481240063,146.9609375
562770.2517535097,6186463.481240063,146.96096801757812
562770.2570051391,6186463.481316034,146.96099853515625
562770.2571400811,6186463.471988004,146.9610137939453
562770.2623917109,6186463.4720639745,146.96102905273438
562770.2623917109,6186463.4720639745,146.9610137939453
562770.2623917109,6186463.4720639745,146.9609832763672
562770.2676433404,6186463.472139946,146.9609375
562770.2676433404,6186463.472139946,146.9608917236328
562770.2676433404,6186463.472139946,146.9608154296875
562770.2728949701,6186463.472215918,146.96070861816406
562770.2728949701,6186463.472215918,146.96060180664062
562770.2781466,6186463.47229189,146.9604949951172
562770.2781466,6186463.47229189,146.96038818359375
562770.2781466,6186463.47229189,146.96031188964844
562770.2833982294,6186463.472367861,146.9602508544922
562770.2886498593,6186463.472443833,146.96022033691406
562770.2940364311,6186463.463191773,146.9595184326172
562770.2992880605,6186463.4632677445,146.9596710205078
562770.3045396904,6186463.463343716,146.95977783203125
562770.3045396904,6186463.463343716,146.9598846435547
562770.3097913202,6186463.463419689,146.95999145507812
562770.3097913202,6186463.463419689,146.96009826660156
562770.3150429497,6186463.463495661,146.960205078125
562770.3202945795,6186463.463571631,146.96029663085938
562770.3202945795,6186463.463571631,146.96038818359375
562770.325546209,6186463.463647603,146.96046447753906
562770.3307978387,6186463.463723575,146.96054077148438
562770.3360494686,6186463.463799547,146.9606170654297
562770.3360494686,6186463.463799547,146.960693359375
562770.3414360402,6186463.454547487,146.96075439453125
562770.34668767,6186463.454623459,146.96080017089844
562770.3519392998,6186463.45469943,146.96083068847656
562770.3571909294,6186463.454775401,146.96087646484375
562770.3624425592,6186463.454851372,146.96087646484375
562770.3729458185,6186463.4550033165,146.96017456054688
562770.3730807607,6186463.4456752855,146.9601287841797
562770.38358402,6186463.445827229,146.9600372314453
562770.3888356498,6186463.445903201,146.95997619628906
562770.3940872797,6186463.445979172,146.95994567871094
562770.3993389092,6186463.446055144,146.9599151611328
562770.404590539,6186463.446131116,146.95989990234375
562770.4098421689,6186463.4462070875,146.9598846435547
562770.4150937983,6186463.446283059,146.9598846435547
562770.4204803705,6186463.437031,146.9598846435547
562770.425732,6186463.437106972,146.95986938476562
562770.4309836299,6186463.437182943,146.95985412597656
562770.4362352598,6186463.437258915,146.95980834960938
562770.4414868891,6186463.437334888,146.9597625732422
562770.4467385191,6186463.437410859,146.95968627929688
562770.4572417784,6186463.437562802,146.9595947265625
562770.4624934082,6186463.437638774,146.95948791503906
562770.4731316101,6186463.428462687,146.95924377441406
562770.4836348695,6186463.42861463,146.95896911621094
562770.4942730716,6186463.419438542,146.95870971679688
562770.504776331,6186463.419590486,146.95858764648438
562770.5100279609,6186463.419666458,146.9584503173828
562770.5152795904,6186463.41974243,146.9583282470703
562770.5310344796,6186463.419970346,146.9580841064453
562770.5362861096,6186463.420046318,146.9579620361328
562770.5521759414,6186463.4109462015,146.95770263671875
562770.5574275709,6186463.411022173,146.95758056640625
562770.5679308308,6186463.411174118,146.95745849609375
562770.5731824603,6186463.411250089,146.9573516845703
562770.5836857196,6186463.411402033,146.957275390625
562770.5890722922,6186463.402149974,146.95721435546875
562770.5943239221,6186463.402225946,146.9571533203125
562770.6048271816,6186463.40237789,146.9571075439453
562770.6100788114,6186463.402453863,146.95704650878906
562770.6205820709,6186463.402605807,146.95700073242188
562770.6312202731,6186463.393429718,146.95640563964844
