gnss_latitude;gnss_longitude;gnss_altitude
60,02804184;30,38380051;45,90589905
60,02804184;30,38380051;45,90589905
60,02804184;30,38380051;45,90589905
60,02804184;30,38380051;45,90589905
60,02804184;30,38380051;45,90589905
60,02804184;30,38380051;45,90589905
60,02804184;30,38380051;45,90589905
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90620041
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,90190125
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,91070175
60,02804184;30,38380051;45,90459824
60,02804184;30,38380051;45,90459824
60,02804184;30,38380051;45,90459824
60,02804184;30,38380051;45,90459824
60,02804184;30,38380051;45,90459824
60,02804184;30,38380051;45,90459824
60,02804184;30,38380051;45,90459824
60,02804184;30,38380051;45,90459824
60,02804184;30,38380051;45,90459824
